game_id,pitcher_id,game_date,side,feature,old_value,new_value,absolute_difference,history_game_ids,history_dates,history_definition,temporal_evidence,reason
"822708","676917","2026-07-12","home","last3StartsBf2","23","25","2","822715|822717|822967","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822708","676917","2026-07-12","home","last3StartsBf3","25","16","9","822715|822717|822967","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822708","676917","2026-07-12","home","last5StartsKsAvg","5.8","3.8","2","822715|822717|822967","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822708","676917","2026-07-12","home","last5StartsKsStd","4.12","2.3151673805580453","1.8048326194419548","822715|822717|822967","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822708","676917","2026-07-12","home","last5StartsPitchCountAvg","82","81","1","822715|822717|822967","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822708","676917","2026-07-12","home","pitchesLast3Starts","260","228","32","822715|822717|822967","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822708","676917","2026-07-12","home","last5AppearancesPitchCountAvg","82","83.2","1.2000000000000028","822715|824742|822717","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","pitchesLastStart","16","37","21","822716|822719","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","pitchesLast3Starts","69","95","26","822716|822719","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","daysSinceLastStart","3","6","3","822716|822719","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last3AppearancesKs1","3","0","3","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last3AppearancesIp2","3.3","1","2.3","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last3AppearancesBf1","8","3","5","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last3AppearancesBf2","12","8","4","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last5AppearancesKsAvg","3","1.4","1.6","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last5AppearancesKsStd","0","1.3564659966250538","1.3564659966250538","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last5AppearancesBfAvg","10","6.4","3.5999999999999996","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822709","687223","2026-07-10","home","last5AppearancesPitchCountAvg","48","27.4","20.6","822713|822716|824740","AVAILABLE_IN_LINEAGE_SOURCE","LAST_APPEARANCES","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","last3StartsKs3","9","6","3","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","last3StartsIp3","7.3","6","1.2999999999999998","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","last3StartsBf2","26","27","1","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","last3StartsBf3","27","26","1","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
"822710","656492","2026-07-08","home","last5StartsKsAvg","6.2","5.2","1","822714|822720|822723","AVAILABLE_IN_LINEAGE_SOURCE","LAST_STARTS","DATE_ONLY","UNEXPLAINED"
