game_id,game_date,snapshot_home_pitcher_name,linescore_defense_pitcher_id,independent_pitcher_id,independent_pitcher_name,home_team,snapshot_captured_at,scheduled_start,snapshot_status,minutes_before_scheduled_start,validation_result,reason,identity_id_agreement,identity_name_agreement,source_type,endpoint,source_queried_at,source_has_pregame_as_of_timestamp
"822719","2026-06-24","Carson Palmquist","687223","687223","Carson Palmquist","Washington Nationals","2026-06-24T21:17:11.177Z","2026-06-24T22:45:00.000Z","Pre-Game","87.813717","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-24&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822776","2026-08-13","Max Scherzer","453286","453286","Max Scherzer","Toronto Blue Jays","2026-08-13T18:42:05.020Z","2026-08-13T19:07:00.000Z","Pre-Game","24.916333","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-08-13&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822785","2026-07-23","Shane Bieber","669456","669456","Shane Bieber","Toronto Blue Jays","2026-07-23T17:27:16.655Z","2026-07-23T19:07:00.000Z","Pre-Game","99.722417","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-23&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822787","2026-07-21","Kevin Gausman","592332","592332","Kevin Gausman","Toronto Blue Jays","2026-07-21T22:26:27.685Z","2026-07-21T23:07:00.000Z","Pre-Game","40.538583","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-21&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822789","2026-07-17","Spencer Miles","693686","693686","Spencer Miles","Toronto Blue Jays","2026-07-17T23:14:17.701Z","2026-07-17T23:15:00.000Z","Warmup","0.704983","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-07-17&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822792","2026-06-29","Trey Yesavage","702056","702056","Trey Yesavage","Toronto Blue Jays","2026-06-29T22:55:06.600Z","2026-06-29T23:07:00.000Z","Warmup","11.89","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-29&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822793","2026-06-30","Kevin Gausman","592332","592332","Kevin Gausman","Toronto Blue Jays","2026-06-30T23:05:32.702Z","2026-06-30T23:07:00.000Z","Warmup","1.454967","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-30&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822795","2026-06-28","Shane Bieber","669456","669456","Shane Bieber","Toronto Blue Jays","2026-06-28T17:24:58.386Z","2026-06-28T17:37:00.000Z","Warmup","12.0269","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-28&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822796","2026-06-26","Patrick Corbin","571578","571578","Patrick Corbin","Toronto Blue Jays","2026-06-26T23:01:17.077Z","2026-06-26T23:07:00.000Z","Warmup","5.715383","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-26&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
"822797","2026-06-25","Kevin Gausman","592332","592332","Kevin Gausman","Toronto Blue Jays","2026-06-25T20:14:34.527Z","2026-06-25T23:07:00.000Z","Pre-Game","172.42455","NOT_VERIFIABLE","ID y nombre coinciden con MLB teams.home.probablePitcher, pero la respuesta consultada después del juego no incluye timestamp ni versión as-of anterior al inicio","true","true","MLB Stats API probablePitcher","https://statsapi.mlb.com/api/v1/schedule?sportId=1&date=2026-06-25&hydrate=probablePitcher,team","2026-08-27T01:34:10.621Z","false"
