game_id,pitcher_id,pitcher_name,game_date,snapshot_captured_at,team,opponent,side,match_status,pregame_identity_source,pitcher_k_pct,pitcher_so_rate,pitcher_swstr_pct,pitcher_csw_pct,pitcher_bb_pct,pitcher_fip,pitcher_xfip,pitcher_siera,pitcher_xera,pitcher_last5_ks_avg,pitcher_last5_ip_avg,pitcher_last5_bf_avg,pitcher_last5_pitch_count_avg,projected_pitches,projected_innings,pitches_last_start,pitches_last_3_starts,days_since_last_start,opponent_lineup_k_pct,opponent_offense_ops,opponent_offense_woba,opponent_offense_xwoba,park_factor_k,weather_temp,weather_wind_speed,projected_strikeouts,actual_k
"822789","693686","Spencer Miles","2026-07-17","2026-07-17T23:14:17.701Z","Toronto Blue Jays","Chicago White Sox","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.5","23.5","9.1","28","7.8","3.12","3","3.79","3.28","1.67","3.3","15.3","54","51","3","39","140","6","23.9","0.732","0.321","0.334","98","21.5","10.1","3.25","4"
"822792","702056","Trey Yesavage","2026-06-29","2026-06-29T22:55:06.600Z","Toronto Blue Jays","New York Mets","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.3","23.3","14.2","27.8","12","3.89","3.74","4.03","2.93","4.6","5.7","24.2","93","94","5.2","105","281","5","21.6","0.675","0.297","0.342","","","","5.57","3"
"822795","669456","Shane Bieber","2026-06-28","2026-06-28T17:24:58.386Z","Toronto Blue Jays","Texas Rangers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","10.5","10.5","8","22.7","N/A","12.75","5.09","5.64","34.19","2","3.7","19","75","65","","75","75","5","21","0.712","0.314","0.323","","25.2","11.2","","4"
"822796","571578","Patrick Corbin","2026-06-26","2026-06-26T23:01:17.077Z","Toronto Blue Jays","Texas Rangers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","16.2","16.2","9.9","23.4","7.9","4.65","4.1","4.68","5.63","3","4.1","20","84","79","","101","256","6","22.1","0.71","0.313","0.321","","18.8","8.9","","5"
"822797","592332","Kevin Gausman","2026-06-25","2026-06-25T20:14:34.527Z","Toronto Blue Jays","Texas Rangers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24.3","24.3","14","28.5","5.5","3.51","2.89","3.14","3.49","5.6","5","21.6","91","90","","68","266","6","21","0.706","0.312","0.317","","15","14.9","","4"
"822798","702056","Trey Yesavage","2026-06-24","2026-06-24T21:17:14.600Z","Toronto Blue Jays","Houston Astros","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","23.7","23.7","14.4","28.3","11.2","3.87","3.63","3.89","2.94","4.8","5.9","24.6","91","93","","95","267","6","19.7","0.732","0.319","0.328","","20.6","11.9","","5"
"822871","677958","Kumar Rocker","2026-07-21","2026-07-21T22:26:32.606Z","Texas Rangers","Chicago White Sox","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.5","20.5","12.1","26","8.7","4.39","3.57","4.12","4.74","4.4","4.8","21.8","84","86","5","91","268","10","21.4","0.732","0.321","0.321","102","39.7","7.4","4.88","6"
"822875","677958","Kumar Rocker","2026-07-11","2026-07-11T21:45:38.221Z","Texas Rangers","Houston Astros","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.4","20.4","12.1","26.3","8.8","4.04","3.54","4.14","4.58","4.2","4.7","20.6","85","82","4.2","85","253","6","21.4","0.725","0.317","0.309","101","35.2","18.1","4.62","6"
"822876","669022","MacKenzie Gore","2026-07-12","2026-07-12T16:55:52.712Z","Texas Rangers","Houston Astros","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","25.6","25.6","12.6","27.5","9.2","3.67","3.24","3.42","3.96","7","6","24.8","95","96","6","90","280","4","19.9","0.728","0.318","0.311","101","33.7","10.7","6.16","4"
"822879","677958","Kumar Rocker","2026-07-05","2026-07-05T19:21:53.972Z","Texas Rangers","Detroit Tigers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","20.3","20.3","12.1","26.3","9","3.99","3.54","4.19","4.51","3.8","5","21.8","85","84","5","92","238","7","25.8","0.71","0.313","0.31","","36.4","8.9","4.92","4"
"822881","594798","Jacob deGrom","2026-07-07","2026-07-07T23:57:31.981Z","Texas Rangers","Los Angeles Angels","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","30.3","30.3","18","32","5.3","3.6","2.44","2.3","3.44","7.4","6.2","24.2","94","97","6.1","96","293","7","25.83382949932341","0.703","0.31","0.302","","32.1","23.4","7.64","7"
"822882","615698","Cal Quantrill","2026-07-04","2026-07-04T19:13:50.245Z","Texas Rangers","Detroit Tigers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","16.8","16.8","10.2","27.1","7.4","4.53","4.22","4.7","4.83","3","3","12","45","36","2.1","55","125","7","25.6","0.712","0.314","0.331","","36.6","9","2.47","2"
"822884","543135","Nathan Eovaldi","2026-07-02","2026-07-02T21:55:01.566Z","Texas Rangers","Detroit Tigers","home","MATCHED","PREGAME_LINESCORE_DEFENSE_ID","24.4","24.4","15.6","31.1","5.6","4.26","3.01","3.43","4.03","6.8","6.3","26.2","92","95","6.2","92","280","6","25.8","0.71","0.313","0.316","","34.9","13","6.91","9"
