game_id,game_date,scheduled_time_et,snapshot_captured_at,snapshot_classification,home_team,away_team,venue,game_type,game_type_source,home_pregame_pitcher_id,home_pregame_pitcher_name,home_final_pitcher_id,home_final_pitcher_name,home_actual_k,home_match_status,home_in_official_dataset,away_pregame_pitcher_id,away_pregame_pitcher_name,away_final_pitcher_id,away_final_pitcher_name,away_actual_k,away_match_status,away_in_official_dataset,any_defendible_observation,defendible_observation_count
"823369","2026-06-13","4:05 PM ET","2026-06-13T15:26:29.415Z","A","Pittsburgh Pirates","Miami Marlins","PNC Park","R","MLB_STATS_API_SCHEDULE","","Bubba Chandler","","Bubba Chandler","","PREGAME_ID_MISSING","false","","Lake Bachar","","Lake Bachar","","PREGAME_ID_MISSING","false","false","0"
"823616","2026-06-13","4:10 PM ET","2026-06-13T15:25:46.985Z","A","New York Mets","Atlanta Braves","Citi Field","R","MLB_STATS_API_SCHEDULE","","Por definir","","Sean Manaea","","PREGAME_ID_MISSING","false","","Martín Pérez","","Martín Pérez","","PREGAME_ID_MISSING","false","false","0"
"823694","2026-06-13","2:10 PM ET","2026-06-13T13:14:37.691Z","A","Minnesota Twins","St. Louis Cardinals","Target Field","R","MLB_STATS_API_SCHEDULE","","Connor Prielipp","","Connor Prielipp","","PREGAME_ID_MISSING","false","","Matthew Liberatore","","Matthew Liberatore","","PREGAME_ID_MISSING","false","false","0"
"823776","2026-06-13","7:10 PM ET","2026-06-13T15:25:53.933Z","A","Milwaukee Brewers","Philadelphia Phillies","American Family Field","R","MLB_STATS_API_SCHEDULE","","Shane Drohan","","Shane Drohan","","PREGAME_ID_MISSING","false","","Aaron Nola","","Aaron Nola","","PREGAME_ID_MISSING","false","false","0"
"824019","2026-06-13","10:07 PM ET","2026-06-14T00:28:37.635Z","A","Los Angeles Angels","Tampa Bay Rays","Angel Stadium","R","MLB_STATS_API_SCHEDULE","","José Soriano","","José Soriano","","PREGAME_ID_MISSING","false","","Griffin Jax","","Griffin Jax","","PREGAME_ID_MISSING","false","false","0"
"824100","2026-06-13","7:10 PM ET","2026-06-13T22:57:22.602Z","A","Kansas City Royals","Houston Astros","Kauffman Stadium","R","MLB_STATS_API_SCHEDULE","","Noah Cameron","","Noah Cameron","","PREGAME_ID_MISSING","false","","Mike Burrows","","Mike Burrows","","PREGAME_ID_MISSING","false","false","0"
"824426","2026-06-13","4:10 PM ET","2026-06-13T14:05:56.594Z","A","Cleveland Guardians","Detroit Tigers","Progressive Field","R","MLB_STATS_API_SCHEDULE","","Joey Cantillo","","Joey Cantillo","","PREGAME_ID_MISSING","false","","Tarik Skubal","","Tarik Skubal","","PREGAME_ID_MISSING","false","false","0"
"824508","2026-06-13","4:10 PM ET","2026-06-13T13:14:51.089Z","A","Cincinnati Reds","Arizona Diamondbacks","Great American Ball Park","R","MLB_STATS_API_SCHEDULE","","Rhett Lowder","","Rhett Lowder","","PREGAME_ID_MISSING","false","","Michael Soroka","","Michael Soroka","","PREGAME_ID_MISSING","false","false","0"
"824587","2026-06-13","4:10 PM ET","2026-06-13T13:15:01.426Z","A","Chicago White Sox","Los Angeles Dodgers","Rate Field","R","MLB_STATS_API_SCHEDULE","","Sean Burke","","Sean Burke","","PREGAME_ID_MISSING","false","","Yoshinobu Yamamoto","","Yoshinobu Yamamoto","","PREGAME_ID_MISSING","false","false","0"
"824749","2026-06-13","4:10 PM ET","2026-06-13T13:14:56.241Z","A","Boston Red Sox","Texas Rangers","Fenway Park","R","MLB_STATS_API_SCHEDULE","","Ranger Suarez","","Ranger Suarez","","PREGAME_ID_MISSING","false","","Jacob deGrom","","Jacob deGrom","","PREGAME_ID_MISSING","false","false","0"
