game_id,game_date,side,pregame_pitcher_name,pregame_pitcher_id,pregame_id_source,pregame_id_confidence,pregame_temporal_verification,external_current_id_match,final_pitcher_name,final_pitcher_id,final_id_source,actual_k,status,snapshot_captured_at,scheduled_start,minutes_before_start,identity_conflict_details,change_detected,target_source,reason
"822710","2026-07-08","home","Foster Griffin","656492","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Foster Griffin","656492","FINAL_BOXSCORE_PLAYER_ID","9","MATCHED","2026-07-08T20:22:02.343Z","2026-07-08T22:45:00.000Z","142.96095","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822710","2026-07-08","away","Spencer Arrighetti","","","","","","Spencer Arrighetti","681293","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-08T20:22:02.343Z","2026-07-08T22:45:00.000Z","142.96095","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822711","2026-07-11","home","PJ Poulin","","","","","","PJ Poulin","676571","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-11T15:45:00.866Z","2026-07-11T20:05:00.000Z","259.985567","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822711","2026-07-11","away","Cam Schlittler","","","","","","Cam Schlittler","693645","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-11T15:45:00.866Z","2026-07-11T20:05:00.000Z","259.985567","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822712","2026-07-06","home","Miles Mikolas","571945","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Miles Mikolas","571945","FINAL_BOXSCORE_PLAYER_ID","3","MATCHED","2026-07-06T22:27:30.388Z","2026-07-06T22:45:00.000Z","17.493533","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822712","2026-07-06","away","Mike Burrows","","","","","","Mike Burrows","681347","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-06T22:27:30.388Z","2026-07-06T22:45:00.000Z","17.493533","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822713","2026-07-07","home","Andrew Alvarez","674841","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Andrew Alvarez","674841","FINAL_BOXSCORE_PLAYER_ID","3","MATCHED","2026-07-07T21:48:01.396Z","2026-07-07T22:45:00.000Z","56.976733","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822713","2026-07-07","away","Tatsuya Imai","","","","","","Tatsuya Imai","837227","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-07T21:48:01.396Z","2026-07-07T22:45:00.000Z","56.976733","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822714","2026-07-03","home","Foster Griffin","656492","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Foster Griffin","656492","FINAL_BOXSCORE_PLAYER_ID","2","MATCHED","2026-07-03T22:10:18.475Z","2026-07-03T22:45:00.000Z","34.692083","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822714","2026-07-03","away","Mitch Keller","","","","","","Mitch Keller","656605","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-03T22:10:18.475Z","2026-07-03T22:45:00.000Z","34.692083","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822715","2026-07-05","home","Cade Cavalli","","","","","","Cade Cavalli","676917","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-05T15:03:36.560Z","2026-07-05T17:00:00.000Z","116.390667","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822715","2026-07-05","away","Bubba Chandler","","","","","","Bubba Chandler","696149","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-05T15:03:36.560Z","2026-07-05T17:00:00.000Z","116.390667","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822716","2026-07-04","home","Carson Palmquist","687223","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Carson Palmquist","687223","FINAL_BOXSCORE_PLAYER_ID","3","MATCHED","2026-07-04T14:39:47.382Z","2026-07-04T15:05:00.000Z","25.2103","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822716","2026-07-04","away","Braxton Ashcraft","","","","","","Braxton Ashcraft","677952","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-04T14:39:47.382Z","2026-07-04T15:05:00.000Z","25.2103","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822717","2026-06-25","home","Cade Cavalli","676917","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Cade Cavalli","676917","FINAL_BOXSCORE_PLAYER_ID","7","MATCHED","2026-06-25T20:14:30.015Z","2026-06-25T22:45:00.000Z","150.49975","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822717","2026-06-25","away","Cristopher Sánchez","","","","","","Cristopher Sánchez","650911","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-25T20:14:30.015Z","2026-06-25T22:45:00.000Z","150.49975","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822718","2026-06-23","home","PJ Poulin","676571","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","PJ Poulin","676571","FINAL_BOXSCORE_PLAYER_ID","1","MATCHED","2026-06-23T21:41:55.279Z","2026-06-23T22:45:00.000Z","63.078683","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822718","2026-06-23","away","Jesús Luzardo","","","","","","Jesús Luzardo","666200","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-23T21:41:55.279Z","2026-06-23T22:45:00.000Z","63.078683","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822719","2026-06-24","home","Carson Palmquist","687223","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Carson Palmquist","687223","FINAL_BOXSCORE_PLAYER_ID","3","MATCHED","2026-06-24T21:17:11.177Z","2026-06-24T22:45:00.000Z","87.813717","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822719","2026-06-24","away","Aaron Nola","","","","","","Aaron Nola","605400","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-24T21:17:11.177Z","2026-06-24T22:45:00.000Z","87.813717","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822720","2026-06-22","home","Foster Griffin","","","","","","Foster Griffin","656492","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-22T21:03:42.603Z","2026-06-22T22:45:00.000Z","101.28995","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822720","2026-06-22","away","Tim Mayza","","","","","","Tim Mayza","641835","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-22T21:03:42.603Z","2026-06-22T22:45:00.000Z","101.28995","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822721","2026-06-17","home","Zack Littell","","","","","","Zack Littell","641793","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-17T17:04:12.083Z","2026-06-17T17:05:00.000Z","0.798617","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822721","2026-06-17","away","Luinder Avila","","","","","","Luinder Avila","679883","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-17T17:04:12.083Z","2026-06-17T17:05:00.000Z","0.798617","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822722","2026-06-14","home","PJ Poulin","","","","","","PJ Poulin","","","","PREGAME_ID_MISSING","2026-06-14T17:29:09.101Z","2026-06-14T17:35:00.000Z","5.848317","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822722","2026-06-14","away","Emerson Hancock","","","","","","Emerson Hancock","","","","PREGAME_ID_MISSING","2026-06-14T17:29:09.101Z","2026-06-14T17:35:00.000Z","5.848317","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822723","2026-06-16","home","Foster Griffin","","","","","","Foster Griffin","656492","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-16T20:58:51.800Z","2026-06-16T22:45:00.000Z","106.136667","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822723","2026-06-16","away","Michael Wacha","","","","","","Michael Wacha","608379","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-16T20:58:51.800Z","2026-06-16T22:45:00.000Z","106.136667","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822724","2026-06-15","home","Andrew Alvarez","","","","","","Andrew Alvarez","674841","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-15T22:24:06.844Z","2026-06-15T22:45:00.000Z","20.885933","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822724","2026-06-15","away","Mitch Spence","","","","","","Mitch Spence","687765","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-15T22:24:06.844Z","2026-06-15T22:45:00.000Z","20.885933","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822725","2026-06-13","home","Cade Cavalli","","","","","","Cade Cavalli","","","","PREGAME_ID_MISSING","2026-06-13T15:25:39.666Z","2026-06-13T20:05:00.000Z","279.3389","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822725","2026-06-13","away","Luis Castillo","","","","","","Luis Castillo","","","","PREGAME_ID_MISSING","2026-06-13T15:25:39.666Z","2026-06-13T20:05:00.000Z","279.3389","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822726","2026-06-12","home","Zack Littell","","","","","","Zack Littell","","","","PREGAME_ID_MISSING","2026-06-12T21:09:32.033Z","2026-06-12T22:45:00.000Z","95.466117","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822726","2026-06-12","away","Bryce Miller","","","","","","Bryce Miller","","","","PREGAME_ID_MISSING","2026-06-12T21:09:32.033Z","2026-06-12T22:45:00.000Z","95.466117","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822772","2026-08-26","home","Spencer Miles","693686","PITCHERS_PITCHER_ID","HIGH","","","Spencer Miles","693686","FINAL_PITCHERS_ID","","FINAL_ID_MISSING","2026-08-26T23:06:14.612Z","2026-08-26T23:07:00.000Z","0.756467","","false","","No existe documento final válido para el game_id"
"822772","2026-08-26","away","Randy Dobnak","677976","PITCHERS_PITCHER_ID","HIGH","","","Randy Dobnak","677976","FINAL_PITCHERS_ID","","FINAL_ID_MISSING","2026-08-26T23:06:14.612Z","2026-08-26T23:07:00.000Z","0.756467","","false","","No existe documento final válido para el game_id"
"822773","2026-08-25","home","Max Scherzer","","","","","","Max Scherzer","453286","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-08-25T13:35:46.540Z","2026-08-25T23:07:00.000Z","571.224333","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822773","2026-08-25","away","Seth Lugo","","","","","","Seth Lugo","607625","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-08-25T13:35:46.540Z","2026-08-25T23:07:00.000Z","571.224333","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822776","2026-08-13","home","Max Scherzer","453286","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Max Scherzer","453286","FINAL_BOXSCORE_PLAYER_ID","4","MATCHED","2026-08-13T18:42:05.020Z","2026-08-13T19:07:00.000Z","24.916333","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822776","2026-08-13","away","Payton Tolle","","","","","","Payton Tolle","801139","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-08-13T18:42:05.020Z","2026-08-13T19:07:00.000Z","24.916333","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822777","2026-08-14","home","Shane Bieber","","","","","","Shane Bieber","669456","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-08-14T13:34:46.639Z","2026-08-14T23:15:00.000Z","580.222683","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822777","2026-08-14","away","Gerrit Cole","","","","","","Gerrit Cole","543037","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-08-14T13:34:46.639Z","2026-08-14T23:15:00.000Z","580.222683","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822784","2026-07-22","home","Braydon Fisher","","","","","","Braydon Fisher","680755","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-22T19:27:45.452Z","2026-07-22T23:07:00.000Z","219.242467","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822784","2026-07-22","away","Griffin Jax","","","","","","Griffin Jax","643377","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-22T19:27:45.452Z","2026-07-22T23:07:00.000Z","219.242467","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822785","2026-07-23","home","Shane Bieber","669456","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Shane Bieber","669456","FINAL_BOXSCORE_PLAYER_ID","3","MATCHED","2026-07-23T17:27:16.655Z","2026-07-23T19:07:00.000Z","99.722417","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822785","2026-07-23","away","Casey Legumina","","","","","","Casey Legumina","668984","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-23T17:27:16.655Z","2026-07-23T19:07:00.000Z","99.722417","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822787","2026-07-21","home","Kevin Gausman","592332","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Kevin Gausman","592332","FINAL_BOXSCORE_PLAYER_ID","1","MATCHED","2026-07-21T22:26:27.685Z","2026-07-21T23:07:00.000Z","40.538583","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822787","2026-07-21","away","Drew Rasmussen","","","","","","Drew Rasmussen","656876","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-21T22:26:27.685Z","2026-07-21T23:07:00.000Z","40.538583","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822788","2026-07-20","home","Dylan Cease","","","","","","Dylan Cease","656302","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-20T16:37:39.764Z","2026-07-20T23:07:00.000Z","389.337267","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822788","2026-07-20","away","Nick Martinez","","","","","","Nick Martinez","607259","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-20T16:37:39.764Z","2026-07-20T23:07:00.000Z","389.337267","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822789","2026-07-17","home","Spencer Miles","693686","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Spencer Miles","693686","FINAL_BOXSCORE_PLAYER_ID","4","MATCHED","2026-07-17T23:14:17.701Z","2026-07-17T23:15:00.000Z","0.704983","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822789","2026-07-17","away","Anthony Kay","","","","","","Anthony Kay","641743","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-17T23:14:17.701Z","2026-07-17T23:15:00.000Z","0.704983","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822790","2026-07-18","home","Shane Bieber","","","","","","Shane Bieber","669456","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-18T15:24:15.581Z","2026-07-18T19:07:00.000Z","222.740317","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822790","2026-07-18","away","Davis Martin","","","","","","Davis Martin","663436","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-07-18T15:24:15.581Z","2026-07-18T19:07:00.000Z","222.740317","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822792","2026-06-29","home","Trey Yesavage","702056","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Trey Yesavage","702056","FINAL_BOXSCORE_PLAYER_ID","3","MATCHED","2026-06-29T22:55:06.600Z","2026-06-29T23:07:00.000Z","11.89","","false","FINAL_BOXSCORE_STRIKEOUTS","game_id y pitcher_id coinciden; actual_k final válido"
"822792","2026-06-29","away","Sean Manaea","","","","","","Sean Manaea","640455","FINAL_BOXSCORE_PLAYER_ID","","PREGAME_ID_MISSING","2026-06-29T22:55:06.600Z","2026-06-29T23:07:00.000Z","11.89","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
"822793","2026-06-30","home","Kevin Gausman","592332","LINESCORE_DEFENSE_PITCHER","HIGH","NOT_VERIFIABLE","true","Kevin Gausman","","","","FINAL_ID_MISSING","2026-06-30T23:05:32.702Z","2026-06-30T23:07:00.000Z","1.454967","","false","","El documento final no contiene un ID seguro para este lado"
"822793","2026-06-30","away","Nolan McLean","","","","","","Nolan McLean","","","","PREGAME_ID_MISSING","2026-06-30T23:05:32.702Z","2026-06-30T23:07:00.000Z","1.454967","","false","","El snapshot no contiene ID explícito ni ID auxiliar verificable para este lado"
