game_id,pitcher_id,game_date,cause,evidence,stored_last3Ks1,reconstructed_last3Ks1
822832,680736,2026-04-06,I_DIFFERENT_HISTORICAL_GAME_ID,"selected history record_timestamp >= target scheduled_start | selected historical competition=MLB_SPRING_TRAINING_INFERRED | stored matches most recent appearance game 823972, not most recent start 831809",2.0,3.0
823728,657746,2026-04-06,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,3.0,7.0
823728,657746,2026-04-06,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,3.0,7.0
823400,676917,2026-04-13,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831448,1.0,3.0
823400,676917,2026-04-13,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831448,1.0,3.0
823400,676917,2026-04-13,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831448,1.0,3.0
822818,656876,2026-05-11,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,5.0,6.0
822818,656876,2026-05-11,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,5.0,6.0
823953,808963,2026-05-11,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823972,4.0,5.0
823953,808963,2026-05-11,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823972,4.0,5.0
823953,808963,2026-05-11,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823972,4.0,5.0
824199,663567,2026-05-11,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,4.0,8.0
824199,663567,2026-05-11,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,4.0,8.0
824199,669923,2026-05-11,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823151,5.0,2.0
824199,669923,2026-05-11,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823151,5.0,2.0
824199,669923,2026-05-11,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 823151,5.0,2.0
823554,680694,2026-05-02,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 831503,3.0,4.0
823554,680694,2026-05-02,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 831503,3.0,4.0
823554,680694,2026-05-02,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 831503,3.0,4.0
823715,687570,2026-05-02,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,5.0,6.0
823715,687570,2026-05-02,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,5.0,6.0
823715,656302,2026-05-02,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,5.0,6.0
823715,656302,2026-05-02,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,5.0,6.0
824685,684007,2026-05-02,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start,6.0,1.0
824685,684007,2026-05-02,M_UNEXPLAINED,selected history record_timestamp >= target scheduled_start,6.0,1.0
824685,669194,2026-05-02,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823971,4.0,1.0
824685,669194,2026-05-02,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823971,4.0,1.0
824685,669194,2026-05-02,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823971,4.0,1.0
825014,677944,2026-05-02,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823160,5.0,2.0
825014,677944,2026-05-02,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823160,5.0,2.0
825014,677944,2026-05-02,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 5: 823160,5.0,2.0
822980,663556,2026-05-18,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 822989,7.0,4.0
822980,663556,2026-05-18,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 822989,7.0,4.0
822980,663556,2026-05-18,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 2: 822989,7.0,4.0
823705,837227,2026-05-18,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831443,3.0,0.0
823705,837227,2026-05-18,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831443,3.0,0.0
823705,837227,2026-05-18,I_DIFFERENT_HISTORICAL_GAME_ID,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 4: 831443,3.0,0.0
824680,687075,2026-05-18,E_BACKFILL_OR_LATE_RECORD_TIMESTAMP,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823801,6.0,5.0
824680,687075,2026-05-18,G_DIFFERENT_TEMPORAL_ORDER,selected history record_timestamp >= target scheduled_start | stored matches older local start at position 3: 823801,6.0,5.0
