scenario,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_value,absolute_difference,relative_difference,exact_match,material_difference,history_count,history_game_ids,target_game_excluded,future_games_excluded,target_stats_used,target_identity_source
B_DATE,831756,657277,2026-03-19,away,last5BfAvg,,11.0,,,False,False,1,831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,831756,657277,2026-03-19,away,last5PitchCountAvg,,38.0,,,False,False,1,831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,831756,657277,2026-03-19,away,pitchesLast3Starts,0.0,38.0,38.0,,False,True,1,831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last3Ks1,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last3Ks2,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last3Ks3,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last5KsAvg,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last5KsStd,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last5IpAvg,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last5BfAvg,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,last5PitchCountAvg,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823244,657277,2026-03-25,home,pitchesLast3Starts,0.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last3Ks1,,3.0,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last3Ks2,,3.0,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last3Ks3,,,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last5KsAvg,,3.0,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last5KsStd,,0.0,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last5IpAvg,,3.7,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last5BfAvg,,16.0,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,last5PitchCountAvg,,62.0,,,False,False,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823244,657277,2026-03-25,home,pitchesLast3Starts,0.0,124.0,124.0,,False,True,2,831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last3Ks1,7.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last3Ks2,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last3Ks3,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last5KsAvg,7.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last5KsStd,0.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last5IpAvg,5.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last5BfAvg,26.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,last5PitchCountAvg,86.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823322,657277,2026-03-31,away,pitchesLast3Starts,86.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last3Ks1,7.0,7.0,0.0,0.0,True,False,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last3Ks2,,3.0,,,False,False,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last3Ks3,,3.0,,,False,False,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last5KsAvg,7.0,4.33,2.67,0.3814285714285714,False,True,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last5KsStd,0.0,1.89,1.89,,False,True,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last5IpAvg,5.0,4.1,0.9000000000000004,0.18000000000000008,False,False,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last5BfAvg,26.0,19.3,6.699999999999999,0.25769230769230766,False,True,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,last5PitchCountAvg,86.0,70.0,16.0,0.18604651162790697,False,True,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
B_DATE,823322,657277,2026-03-31,away,pitchesLast3Starts,86.0,210.0,124.0,1.441860465116279,False,True,3,823244|831756|831768,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last3Ks1,5.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last3Ks2,7.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last3Ks3,,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last5KsAvg,6.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
A_STRICT,823238,657277,2026-04-05,home,last5KsStd,1.0,,,,False,False,0,,True,True,False,FINAL_BOXSCORE_PLAYER_ID_RETROSPECTIVE
