target_game_id,target_date,side,pitcher_id,new_feature,stored_feature,stored_value,reconstructed_value,absolute_error,exact_match,material_difference,competition_status,temporal_evidence
"822702","2026-07-29","home","641793","last3AppearancesKs1","last3Ks1","4","5","1","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesKs2","last3Ks2","3","4","1","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesKs3","last3Ks3","2","5","3","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesIp1","last3Ip1","6","5","1","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesIp2","last3Ip2","5","6","1","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesIp3","last3Ip3","5","4","1","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesBf1","last3Bf1","30","20","10","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesBf2","last3Bf2","20","30","10","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last3AppearancesBf3","last3Bf3","24","15","9","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last5AppearancesKsAvg","last5KsAvg","2.6","4","1.4","false","true","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last5AppearancesKsStd","last5KsStd","1.5","0.8944271909999159","0.6055728090000841","false","false","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last5AppearancesIpAvg","last5IpAvg","4.5","5.2","0.7000000000000002","false","false","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last5AppearancesBfAvg","last5BfAvg","20.6","21.2","0.5999999999999979","false","false","UNKNOWN","DATE_ONLY"
"822702","2026-07-29","home","641793","last5AppearancesPitchCountAvg","last5PitchCountAvg","79","82.2","3.200000000000003","false","true","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsKs1","last3Ks1","2","2","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsKs2","last3Ks2","4","4","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsKs3","last3Ks3","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsIp1","last3Ip1","1.7","1.6666666666666667","0.033333333333333215","false","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsIp2","last3Ip2","3","3","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsIp3","last3Ip3","1","1","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsBf1","last3Bf1","11","11","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsBf2","last3Bf2","12","12","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last3StartsBf3","last3Bf3","8","8","0","true","false","UNKNOWN","DATE_ONLY"
"822707","2026-07-24","home","687223","last5StartsKsAvg","last5KsAvg","3","3","0","true","false","UNKNOWN","DATE_ONLY"
