row_type,model,game_id,pitcher_id,game_date,side,eligible_baseline,eligible_dynamic_starts,eligible_dynamic_appearances,eligible_hybrid,eligible_all,required_features,eligible_total,coverage_pct,eligible_train,eligible_validation,common_primary_total,common_primary_train,common_primary_validation
"TARGET_ELIGIBILITY","","823114","622491","2026-07-21","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823115","682243","2026-07-17","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823117","676106","2026-07-05","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823118","669302","2026-07-04","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823119","682243","2026-07-02","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823120","622491","2026-07-03","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823121","669923","2026-06-29","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823180","657277","2026-08-26","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823180","666157","2026-08-26","away","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823192","657277","2026-07-29","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823199","686790","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823202","657277","2026-07-08","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823203","686790","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823204","592662","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823205","694738","2026-07-06","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823206","686790","2026-06-26","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823207","657277","2026-06-27","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823209","694738","2026-06-25","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823210","592662","2026-06-23","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823255","681190","2026-08-26","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823255","696149","2026-08-26","away","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823274","608566","2026-07-12","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823276","621111","2026-07-11","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823279","650633","2026-07-08","home","true","true","true","true","true","","","","","","","",""
"TARGET_ELIGIBILITY","","823280","608566","2026-07-07","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823281","650633","2026-06-28","home","false","false","false","false","false","","","","","","","",""
"TARGET_ELIGIBILITY","","823282","621111","2026-07-06","home","false","false","false","false","false","","","","","","","",""
