scenario,definition,game_id,pitcher_id,game_date,side,feature,stored_value,reconstructed_clean,reconstructed_historical_formula,absolute_error,exact_match,material_difference,target_game_excluded,future_games_excluded,target_actual_k_used,target_boxscore_used
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","last3Bf3","24","24","24","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","last5KsAvg","2.6","3.6","3.6","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","last5KsStd","1.5","1.019803902718557","1.02","0.48019609728144297","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","last5IpAvg","4.5","5.4","5.4","0.9000000000000004","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","last5BfAvg","20.6","23.4","23.4","2.799999999999997","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","last5PitchCountAvg","79","85","85","6","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","pitchesLast3Starts","242","277","277","35","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822702","641793","2026-07-29","home","daysSinceLastStart","5","11","11","6","false","true","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Ks1","4","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Ks2","3","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Ks3","2","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Ip1","6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Ip2","5","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Ip3","5","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Bf1","30","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Bf2","20","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last3Bf3","24","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last5KsAvg","2.6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last5KsStd","1.5","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last5IpAvg","4.5","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last5BfAvg","20.6","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","last5PitchCountAvg","79","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","pitchesLast3Starts","242","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822702","641793","2026-07-29","home","daysSinceLastStart","5","","","","false","false","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Ks1","4","5","5","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Ip1","6","5","5","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Bf1","30","20","20","10","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Ks2","3","4","4","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Ip2","5","6","6","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Bf2","20","30","30","10","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Ks3","2","5","5","3","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Ip3","5","4","4","1","false","true","true","true","false","false"
"DATE_ONLY","LAST3_APPEARANCES","822702","641793","2026-07-29","home","last3Bf3","24","15","15","9","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ks1","2","2","2","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ks2","4","4","4","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ks3","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ip1","1.7","1.6666666666666667","1.6666666666666667","0.033333333333333215","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ip2","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ip3","1","1","1","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Bf1","11","11","11","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Bf2","12","12","12","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last3Bf3","8","8","8","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last5KsAvg","3","3","3","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last5KsStd","0.71","0.7071067811865476","0.71","0.0028932188134523917","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last5IpAvg","2.3","2.25","2.3","0.04999999999999982","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last5BfAvg","10.8","10.75","10.8","0.05000000000000071","false","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","last5PitchCountAvg","44","44","44","0","true","false","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","pitchesLast3Starts","88","118","118","30","false","true","true","true","false","false"
"DATE_ONLY","LAST3_STARTS","822707","687223","2026-07-24","home","daysSinceLastStart","3","3","3","0","true","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ks1","2","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ks2","4","","","","false","false","true","true","false","false"
"STRICT","LAST3_STARTS","822707","687223","2026-07-24","home","last3Ks3","3","","","","false","false","true","true","false","false"
